        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  

npv ,1.0     ,1.0     ,1.0     ,1.0     

ppv ,1.0     ,1.0     ,1.0     ,1.0     

tnr ,1.0     ,1.0     ,1.0     ,1.0     

tpr ,1.0     ,1.0     ,1.0     ,1.0     

recall ,1.0     ,1.0     ,1.0     ,1.0     

f1score ,1.0     ,1.0     ,1.0     ,1.0     

accuracy ,1.0     ,1.0     ,1.0     ,1.0     

precision ,1.0     ,1.0     ,1.0     ,1.0     

j-statistic ,1.0     ,1.0     ,1.0     ,1.0     

sensitivity ,1.0     ,1.0     ,1.0     ,1.0     

specificity ,1.0     ,1.0     ,1.0     ,1.0     

